
TimeEdit, Blekinge Tekniska Högskola
"MA1494, Analys 2, DV2587, Tillämpad artificiell intelligens", 2021-09-13 - 2021-12-06, 
Startdatum, Starttid, Slutdatum, Sluttid, Kurs, Moment, Grupp, Person, Lokal, Text, URL, Mitt namn, Kurs/program 
2021-09-13, 10:00, 2021-09-13, 12:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-09-14, 08:00, 2021-09-14, 10:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-09-14, 17:00, 2021-09-14, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
2021-09-15, 10:00, 2021-09-15, 12:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, MTACI20h, , , 
2021-09-15, 13:00, 2021-09-15, 15:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, "MTGHM20h,PAAMJ19h", , , 
2021-09-16, 13:00, 2021-09-16, 15:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-09-16, 17:00, 2021-09-16, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
2021-09-17, 13:00, 2021-09-17, 15:00, "DV2557. Tillämpad artificiell intelligens, DV2587. Tillämpad artificiell intelligens", Lektion, , Prashant Goswami, , DVACC21h DVACD17h DVADA21h DVADA21v DVADS18h IEACI17h IEACI18h PAADA20h PAADA21v PAAPS20h PAASP18h, , , 
2021-09-21, 08:00, 2021-09-21, 11:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-09-21, 15:00, 2021-09-21, 17:00, "DV2557. Tillämpad artificiell intelligens, DV2587. Tillämpad artificiell intelligens", Lektion, , Prashant Goswami, , DVACC21h DVACD17h DVADA21h DVADA21v DVADS18h IEACI17h IEACI18h PAADA20h PAADA21v PAAPS20h PAASP18h, , , 
2021-09-21, 17:00, 2021-09-21, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
2021-09-22, 10:00, 2021-09-22, 12:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, MTACI20h, , , 
2021-09-22, 13:00, 2021-09-22, 15:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, "MTGHM20h,PAAMJ19h", , , 
2021-09-23, 13:00, 2021-09-23, 16:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-09-23, 17:00, 2021-09-23, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
2021-09-27, 10:00, 2021-09-27, 12:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-09-28, 08:00, 2021-09-28, 10:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-09-28, 15:00, 2021-09-28, 17:00, "DV2557. Tillämpad artificiell intelligens, DV2587. Tillämpad artificiell intelligens", Lektion, , Prashant Goswami, , DVACC21h DVACD17h DVADA21h DVADA21v DVADS18h IEACI17h IEACI18h PAADA20h PAADA21v PAAPS20h PAASP18h, , , 
2021-09-28, 17:00, 2021-09-28, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
2021-09-29, 10:00, 2021-09-29, 12:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, MTACI20h, , , 
2021-09-29, 13:00, 2021-09-29, 15:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, "MTGHM20h,PAAMJ19h", , , 
2021-09-30, 13:00, 2021-09-30, 15:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
